dealer_id,name,city,state,zipcode,phone_number,open_date
95966,"Vasquez, Robinson and Rojas",North Allisonmouth,TN,49657,(209)770-6500x01116,2000-10-10
40634,"Reed, Williams and Gordon",Porterberg,KY,00617,001-495-698-0461x90923,2014-07-15
23732,"Mitchell, Mcdaniel and Marshall",Royville,NE,50435,3288521657,2002-11-01
23799,Jacobson-Berg,West Eric,NE,42488,598.533.5947x688,2020-03-23
40964,Martinez-Stevens,Melissabury,TN,58785,321.869.5288,2009-09-01
44749,Keller-Lewis,Winterstown,OR,27102,(869)264-8832,2010-07-23
01120,"Ford, Munoz and Diaz",West Jeffreystad,VI,84743,614-624-2769,2015-11-19
67720,Hall and Sons,West Paul,CA,57921,(943)451-1285x61676,2008-05-30
09757,Johnson Group,Cervantesport,NH,58076,234.339.7727x40961,
79378,"Banks, Aguirre and Joseph",West Sethfurt,NJ,02146,(436)223-6019,2019-02-16
58768,"Cruz, Hamilton and Gomez",Cherylshire,TN,60691,(530)690-6320,2017-02-02
71243,Young-Harper,West Andrea,AZ,49364,962-433-1283x5289,
77371,Johnson-Stanton,Fostertown,DC,31979,(613)905-5477x742,2016-12-18
45052,Rodriguez-Mclean,Jenniferbury,AR,06782,001-718-307-3303,2019-01-17
83170,"Wilcox, Stone and Clark",Gravesmouth,NM,46115,587-298-1119x71750,2017-11-10
96746,"Lambert, Chen and Smith",Carlosland,WV,94810,453.424.0387x63007,2015-03-05
31484,"Gomez, Perez and Chavez",North Jamesland,ID,43833,(833)780-6104x94860,2021-11-08
61535,"Schroeder, Barber and Newman",Melindachester,PW,73096,351.557.3926x46052,2005-08-17
74748,May LLC,New Sean,MH,19268,292.870.4238,
28200,Johnson-Moore,Connorland,NE,57292,(839)652-8808x2234,2019-11-26
38825,Smith and Sons,Tuckerburgh,VA,80167,001-594-390-6523x3555,2021-02-25
53638,"Oneill, Brown and Garcia",New Tracyport,MP,71289,(408)966-8554,2013-12-28
65674,"Lloyd, Gray and Barrett",Jeffreychester,VT,38815,(363)339-4320,2003-11-02
07849,"Chavez, Krueger and Patel",Pamelaborough,AR,22409,(987)290-4582x1913,2018-09-03
29553,Santana PLC,West Ericberg,CT,01607,543.799.0927,
49477,Grimes Group,North Patrickberg,FM,65904,+1-999-895-2917,2013-11-23
76167,"Garcia, Ramirez and Marks",Allenville,TN,77808,001-332-471-8935,2019-01-30
34625,"Allen, James and Jarvis",Bakerchester,DC,38153,+1-812-703-5778x6596,2012-04-30
87375,Briggs-Vasquez,Dunlapton,CT,17208,(373)756-0689x23869,2013-07-17
74413,Cruz-Conner,West Richardmouth,NY,52749,+1-900-973-5201x591,2020-08-04
61172,Sanders-Peterson,Donaldshire,DE,39875,+1-441-388-0894,2012-08-31
03508,Burgess Inc,Ashleyshire,OK,73850,001-778-414-8023x03076,2013-08-18
68988,White Ltd,Matthewtown,WA,71638,+1-507-456-3443x20500,2016-08-22
87239,Thompson-Gomez,West Mariamouth,ME,97741,425-658-4766x9107,2002-01-21
62181,"Wu, Myers and Burch",West Christine,OH,92302,574-325-2691x871,2011-12-03
58322,Lee and Sons,New Michael,WY,72321,296-257-4425,
86365,Herring-Peterson,Angelafort,IN,78236,792.723.2757x41744,
60914,Hale-Sanchez,North Davidmouth,NC,10209,911-733-5766x836,2008-01-05
77013,"Strong, Thompson and Tucker",Port Rodney,MP,01239,7926900292,2023-12-01
06166,Barron-Prince,Bryanchester,MO,33686,(204)417-5106x46933,
33556,Vasquez Group,Bellberg,TN,61579,884-976-8292,2022-03-03
24557,"Powers, Henry and Carlson",Peterland,AK,07453,624.573.5170,2012-11-29
02204,"Prince, Ramirez and Duffy",North Breannaborough,CT,28045,7572612213,
41126,Hale PLC,Mirandaport,NM,59551,9398190193,2002-08-13
67549,Martinez-Webster,Dunnville,WY,37630,630.926.8468,2009-01-05
68726,Garcia-Mcgrath,South Ian,NC,55223,(657)662-6756,2007-03-08
92133,"Vang, Huynh and Christian",Singletonland,MP,12283,+1-725-514-9988x962,2002-12-21
20593,Morales Ltd,Santosburgh,ND,85104,(838)959-9830x83528,2010-08-07
83639,"Bell, Vazquez and Gonzalez",Lake Vanessa,ND,55185,2469294817,2022-05-17
70496,Gardner Inc,Port Jeffery,MN,07562,+1-225-455-6175x6500,2006-05-11
65954,Evans-Love,New Charles,NM,67171,670-985-2631,2014-07-24
96047,"Long, Davies and Lopez",Lake Annetteville,MN,08427,218-944-2632,2013-05-06
